jda:block/1	x=320	y=768	w=32	h=32
minecraft:block/stripped_spruce_log	x=800	y=880	w=16	h=16
minecraft:block/stripped_spruce_log_top	x=800	y=896	w=16	h=16
minecraft:block/stripped_warped_stem	x=800	y=912	w=16	h=16
minecraft:block/stripped_warped_stem_top	x=800	y=928	w=16	h=16
minecraft:block/structure_block	x=800	y=944	w=16	h=16
minecraft:block/structure_block_corner	x=800	y=960	w=16	h=16
minecraft:block/structure_block_data	x=800	y=976	w=16	h=16
minecraft:block/structure_block_load	x=800	y=992	w=16	h=16
minecraft:block/structure_block_save	x=800	y=1008	w=16	h=16
minecraft:block/sugar_cane	x=816	y=0	w=16	h=16
minecraft:block/sunflower_back	x=816	y=16	w=16	h=16
minecraft:block/sunflower_bottom	x=816	y=32	w=16	h=16
minecraft:block/sunflower_front	x=816	y=48	w=16	h=16
minecraft:block/sunflower_top	x=816	y=64	w=16	h=16
minecraft:block/suspicious_gravel_0	x=816	y=80	w=16	h=16
minecraft:block/suspicious_gravel_1	x=816	y=96	w=16	h=16
minecraft:block/suspicious_gravel_2	x=816	y=112	w=16	h=16
minecraft:block/suspicious_gravel_3	x=816	y=128	w=16	h=16
minecraft:block/suspicious_sand_0	x=816	y=144	w=16	h=16
minecraft:block/suspicious_sand_1	x=816	y=160	w=16	h=16
minecraft:block/suspicious_sand_2	x=816	y=176	w=16	h=16
minecraft:block/suspicious_sand_3	x=816	y=192	w=16	h=16
minecraft:block/sweet_berry_bush_stage0	x=816	y=208	w=16	h=16
minecraft:block/sweet_berry_bush_stage1	x=816	y=224	w=16	h=16
minecraft:block/sweet_berry_bush_stage2	x=816	y=240	w=16	h=16
minecraft:block/sweet_berry_bush_stage3	x=816	y=256	w=16	h=16
minecraft:block/tall_grass_bottom	x=816	y=272	w=16	h=16
minecraft:block/tall_grass_top	x=816	y=288	w=16	h=16
minecraft:block/tall_seagrass_bottom	x=816	y=304	w=16	h=16
minecraft:block/tall_seagrass_top	x=816	y=320	w=16	h=16
minecraft:block/target_side	x=816	y=336	w=16	h=16
minecraft:block/target_top	x=816	y=352	w=16	h=16
minecraft:block/terracotta	x=816	y=368	w=16	h=16
minecraft:block/tinted_glass	x=816	y=384	w=16	h=16
minecraft:block/tnt_bottom	x=816	y=400	w=16	h=16
minecraft:block/tnt_side	x=816	y=416	w=16	h=16
minecraft:block/tnt_top	x=816	y=432	w=16	h=16
minecraft:block/torch	x=816	y=448	w=16	h=16
minecraft:block/torchflower	x=816	y=464	w=16	h=16
minecraft:block/torchflower_crop_stage0	x=816	y=480	w=16	h=16
minecraft:block/torchflower_crop_stage1	x=816	y=496	w=16	h=16
minecraft:block/trial_spawner_bottom	x=816	y=512	w=16	h=16
minecraft:block/trial_spawner_side_active	x=816	y=528	w=16	h=16
minecraft:block/trial_spawner_side_active_ominous	x=816	y=544	w=16	h=16
minecraft:block/trial_spawner_side_inactive	x=816	y=560	w=16	h=16
minecraft:block/trial_spawner_side_inactive_ominous	x=816	y=576	w=16	h=16
minecraft:block/trial_spawner_top_active	x=816	y=592	w=16	h=16
minecraft:block/trial_spawner_top_active_ominous	x=816	y=608	w=16	h=16
minecraft:block/trial_spawner_top_ejecting_reward	x=816	y=624	w=16	h=16
minecraft:block/trial_spawner_top_ejecting_reward_ominous	x=816	y=640	w=16	h=16
minecraft:block/trial_spawner_top_inactive	x=816	y=656	w=16	h=16
minecraft:block/trial_spawner_top_inactive_ominous	x=816	y=672	w=16	h=16
minecraft:block/tripwire	x=816	y=688	w=16	h=16
minecraft:block/tripwire_hook	x=816	y=704	w=16	h=16
minecraft:block/tube_coral	x=816	y=720	w=16	h=16
minecraft:block/tube_coral_block	x=816	y=736	w=16	h=16
minecraft:block/tube_coral_fan	x=816	y=752	w=16	h=16
minecraft:block/tuff	x=816	y=768	w=16	h=16
minecraft:block/tuff_bricks	x=816	y=784	w=16	h=16
minecraft:block/turtle_egg	x=816	y=800	w=16	h=16
minecraft:block/turtle_egg_slightly_cracked	x=816	y=816	w=16	h=16
minecraft:block/turtle_egg_very_cracked	x=816	y=832	w=16	h=16
minecraft:block/twisting_vines	x=816	y=848	w=16	h=16
minecraft:block/twisting_vines_plant	x=816	y=864	w=16	h=16
jda:block/update_table	x=0	y=768	w=64	h=64
minecraft:block/vault_bottom	x=816	y=880	w=16	h=16
minecraft:block/vault_bottom_ominous	x=816	y=896	w=16	h=16
minecraft:block/vault_front_ejecting	x=816	y=912	w=16	h=16
minecraft:block/vault_front_ejecting_ominous	x=816	y=928	w=16	h=16
minecraft:block/vault_front_off	x=816	y=944	w=16	h=16
minecraft:block/vault_front_off_ominous	x=816	y=960	w=16	h=16
minecraft:block/vault_front_on	x=816	y=976	w=16	h=16
minecraft:block/vault_front_on_ominous	x=816	y=992	w=16	h=16
minecraft:block/vault_side_off	x=816	y=1008	w=16	h=16
minecraft:block/vault_side_off_ominous	x=832	y=0	w=16	h=16
minecraft:block/vault_side_on	x=832	y=16	w=16	h=16
minecraft:block/vault_side_on_ominous	x=832	y=32	w=16	h=16
minecraft:block/vault_top	x=832	y=48	w=16	h=16
minecraft:block/vault_top_ejecting	x=832	y=64	w=16	h=16
minecraft:block/vault_top_ejecting_ominous	x=832	y=80	w=16	h=16
minecraft:block/vault_top_ominous	x=832	y=96	w=16	h=16
minecraft:block/verdant_froglight_side	x=832	y=112	w=16	h=16
minecraft:block/verdant_froglight_top	x=832	y=128	w=16	h=16
minecraft:block/vine	x=832	y=144	w=16	h=16
minecraft:block/warped_door_bottom	x=832	y=160	w=16	h=16
minecraft:block/warped_door_top	x=832	y=176	w=16	h=16
minecraft:block/warped_fungus	x=832	y=192	w=16	h=16
minecraft:block/warped_nylium	x=832	y=208	w=16	h=16
minecraft:block/warped_nylium_side	x=832	y=224	w=16	h=16
minecraft:block/warped_planks	x=832	y=240	w=16	h=16
minecraft:block/warped_roots	x=832	y=256	w=16	h=16
minecraft:block/warped_roots_pot	x=832	y=272	w=16	h=16
minecraft:block/warped_stem	x=832	y=288	w=16	h=16
minecraft:block/warped_stem_top	x=832	y=304	w=16	h=16
minecraft:block/warped_trapdoor	x=832	y=320	w=16	h=16
minecraft:block/warped_wart_block	x=832	y=336	w=16	h=16
minecraft:block/water_flow	x=416	y=768	w=32	h=32
minecraft:block/water_overlay	x=832	y=352	w=16	h=16
minecraft:block/water_still	x=832	y=368	w=16	h=16
minecraft:block/weathered_chiseled_copper	x=832	y=384	w=16	h=16
minecraft:block/weathered_copper	x=832	y=400	w=16	h=16
minecraft:block/weathered_copper_bulb	x=832	y=416	w=16	h=16
minecraft:block/weathered_copper_bulb_lit	x=832	y=432	w=16	h=16
minecraft:block/weathered_copper_bulb_lit_powered	x=832	y=448	w=16	h=16
minecraft:block/weathered_copper_bulb_powered	x=832	y=464	w=16	h=16
minecraft:block/weathered_copper_door_bottom	x=832	y=480	w=16	h=16
minecraft:block/weathered_copper_door_top	x=832	y=496	w=16	h=16
minecraft:block/weathered_copper_grate	x=832	y=512	w=16	h=16
minecraft:block/weathered_copper_trapdoor	x=832	y=528	w=16	h=16
minecraft:block/weathered_cut_copper	x=832	y=544	w=16	h=16
minecraft:block/weeping_vines	x=832	y=560	w=16	h=16
minecraft:block/weeping_vines_plant	x=832	y=576	w=16	h=16
minecraft:block/wet_sponge	x=832	y=592	w=16	h=16
minecraft:block/wheat_stage0	x=832	y=608	w=16	h=16
minecraft:block/wheat_stage1	x=832	y=624	w=16	h=16
minecraft:block/wheat_stage2	x=832	y=640	w=16	h=16
minecraft:block/wheat_stage3	x=832	y=656	w=16	h=16
minecraft:block/wheat_stage4	x=832	y=672	w=16	h=16
minecraft:block/wheat_stage5	x=832	y=688	w=16	h=16
minecraft:block/wheat_stage6	x=832	y=704	w=16	h=16
minecraft:block/wheat_stage7	x=832	y=720	w=16	h=16
minecraft:block/white_candle	x=832	y=736	w=16	h=16
minecraft:block/white_candle_lit	x=832	y=752	w=16	h=16
minecraft:block/white_concrete	x=832	y=768	w=16	h=16
minecraft:block/white_concrete_powder	x=832	y=784	w=16	h=16
minecraft:block/white_glazed_terracotta	x=832	y=800	w=16	h=16
minecraft:block/white_shulker_box	x=832	y=816	w=16	h=16
minecraft:block/white_stained_glass	x=832	y=832	w=16	h=16
minecraft:block/white_stained_glass_pane_top	x=832	y=848	w=16	h=16
minecraft:block/white_terracotta	x=832	y=864	w=16	h=16
minecraft:block/white_tulip	x=832	y=880	w=16	h=16
minecraft:block/white_wool	x=832	y=896	w=16	h=16
minecraft:block/wither_rose	x=832	y=912	w=16	h=16
minecraft:block/yellow_candle	x=832	y=928	w=16	h=16
minecraft:block/yellow_candle_lit	x=832	y=944	w=16	h=16
minecraft:block/yellow_concrete	x=832	y=960	w=16	h=16
minecraft:block/yellow_concrete_powder	x=832	y=976	w=16	h=16
minecraft:block/yellow_glazed_terracotta	x=832	y=992	w=16	h=16
minecraft:block/yellow_shulker_box	x=832	y=1008	w=16	h=16
minecraft:block/yellow_stained_glass	x=848	y=0	w=16	h=16
minecraft:block/yellow_stained_glass_pane_top	x=848	y=16	w=16	h=16
minecraft:block/yellow_terracotta	x=848	y=32	w=16	h=16
minecraft:block/yellow_wool	x=848	y=48	w=16	h=16
minecraft:entity/bell/bell_body	x=448	y=768	w=32	h=32
minecraft:entity/conduit/base	x=480	y=768	w=32	h=16
minecraft:entity/conduit/break_particle	x=848	y=64	w=16	h=16
minecraft:entity/conduit/cage	x=512	y=768	w=32	h=16
minecraft:entity/conduit/closed_eye	x=848	y=80	w=16	h=16
minecraft:entity/conduit/open_eye	x=848	y=96	w=16	h=16
minecraft:entity/conduit/wind	x=128	y=768	w=64	h=32
minecraft:entity/conduit/wind_vertical	x=192	y=768	w=64	h=32
minecraft:entity/decorated_pot/decorated_pot_side	x=848	y=112	w=16	h=16
minecraft:entity/enchanting_table_book	x=256	y=768	w=64	h=32
jda:item/a_n_	x=848	y=128	w=16	h=16
jda:item/a_n_knockback_resistance	x=848	y=144	w=16	h=16
jda:item/a_n_protection	x=848	y=160	w=16	h=16
jda:item/a_n_regenaration	x=848	y=176	w=16	h=16
jda:item/a_n_water	x=848	y=192	w=16	h=16
minecraft:item/acacia_boat	x=848	y=208	w=16	h=16
minecraft:item/acacia_chest_boat	x=848	y=224	w=16	h=16
minecraft:item/acacia_door	x=848	y=240	w=16	h=16
minecraft:item/acacia_hanging_sign	x=848	y=256	w=16	h=16
minecraft:item/acacia_sign	x=848	y=272	w=16	h=16
minecraft:item/amethyst_shard	x=848	y=288	w=16	h=16
jda:item/amulet_part	x=848	y=304	w=16	h=16
minecraft:item/angler_pottery_sherd	x=848	y=320	w=16	h=16
minecraft:item/apple	x=848	y=336	w=16	h=16
minecraft:item/archer_pottery_sherd	x=848	y=352	w=16	h=16
minecraft:item/armadillo_scute	x=848	y=368	w=16	h=16
minecraft:item/armor_stand	x=848	y=384	w=16	h=16
minecraft:item/arms_up_pottery_sherd	x=848	y=400	w=16	h=16
minecraft:item/arrow	x=848	y=416	w=16	h=16
minecraft:item/axolotl_bucket	x=848	y=432	w=16	h=16
minecraft:item/baked_potato	x=848	y=448	w=16	h=16
minecraft:item/bamboo	x=848	y=464	w=16	h=16
minecraft:item/bamboo_chest_raft	x=848	y=480	w=16	h=16
minecraft:item/bamboo_door	x=848	y=496	w=16	h=16
minecraft:item/bamboo_hanging_sign	x=848	y=512	w=16	h=16
minecraft:item/bamboo_raft	x=848	y=528	w=16	h=16
minecraft:item/bamboo_sign	x=848	y=544	w=16	h=16
minecraft:item/barrier	x=848	y=560	w=16	h=16
minecraft:item/beef	x=848	y=576	w=16	h=16
minecraft:item/beetroot	x=848	y=592	w=16	h=16
minecraft:item/beetroot_seeds	x=848	y=608	w=16	h=16
minecraft:item/beetroot_soup	x=848	y=624	w=16	h=16
minecraft:item/bell	x=848	y=640	w=16	h=16
minecraft:item/birch_boat	x=848	y=656	w=16	h=16
minecraft:item/birch_chest_boat	x=848	y=672	w=16	h=16
minecraft:item/birch_door	x=848	y=688	w=16	h=16
minecraft:item/birch_hanging_sign	x=848	y=704	w=16	h=16
minecraft:item/birch_sign	x=848	y=720	w=16	h=16
minecraft:item/black_candle	x=848	y=736	w=16	h=16
minecraft:item/black_dye	x=848	y=752	w=16	h=16
minecraft:item/blade_pottery_sherd	x=848	y=768	w=16	h=16
minecraft:item/blaze_powder	x=848	y=784	w=16	h=16
minecraft:item/blaze_rod	x=848	y=800	w=16	h=16
minecraft:item/blue_candle	x=848	y=816	w=16	h=16
minecraft:item/blue_dye	x=848	y=832	w=16	h=16
minecraft:item/bolt_armor_trim_smithing_template	x=848	y=848	w=16	h=16
minecraft:item/bone	x=848	y=864	w=16	h=16
minecraft:item/bone_meal	x=848	y=880	w=16	h=16
minecraft:item/book	x=848	y=896	w=16	h=16
minecraft:item/bow	x=848	y=912	w=16	h=16
minecraft:item/bow_pulling_0	x=848	y=928	w=16	h=16
minecraft:item/bow_pulling_1	x=848	y=944	w=16	h=16
minecraft:item/bow_pulling_2	x=848	y=960	w=16	h=16
minecraft:item/bowl	x=848	y=976	w=16	h=16
minecraft:item/bread	x=848	y=992	w=16	h=16
minecraft:item/breeze_rod	x=848	y=1008	w=16	h=16
minecraft:item/brewer_pottery_sherd	x=864	y=0	w=16	h=16
minecraft:item/brewing_stand	x=864	y=16	w=16	h=16
minecraft:item/brick	x=864	y=32	w=16	h=16
minecraft:item/broken_elytra	x=864	y=48	w=16	h=16
minecraft:item/brown_candle	x=864	y=64	w=16	h=16
minecraft:item/brown_dye	x=864	y=80	w=16	h=16
minecraft:item/brush	x=864	y=96	w=16	h=16
minecraft:item/bucket	x=864	y=112	w=16	h=16
minecraft:item/bundle	x=864	y=128	w=16	h=16
minecraft:item/bundle_filled	x=864	y=144	w=16	h=16
minecraft:item/burn_pottery_sherd	x=864	y=160	w=16	h=16
minecraft:item/cake	x=864	y=176	w=16	h=16
minecraft:item/campfire	x=864	y=192	w=16	h=16
minecraft:item/candle	x=864	y=208	w=16	h=16
minecraft:item/carrot	x=864	y=224	w=16	h=16
minecraft:item/carrot_on_a_stick	x=864	y=240	w=16	h=16
minecraft:item/cauldron	x=864	y=256	w=16	h=16
minecraft:item/chain	x=864	y=272	w=16	h=16
minecraft:item/chainmail_boots	x=864	y=288	w=16	h=16
minecraft:item/chainmail_chestplate	x=864	y=304	w=16	h=16
minecraft:item/chainmail_helmet	x=864	y=320	w=16	h=16
minecraft:item/chainmail_leggings	x=864	y=336	w=16	h=16
minecraft:item/charcoal	x=864	y=352	w=16	h=16
minecraft:item/cherry_boat	x=864	y=368	w=16	h=16
minecraft:item/cherry_chest_boat	x=864	y=384	w=16	h=16
minecraft:item/cherry_door	x=864	y=400	w=16	h=16
minecraft:item/cherry_hanging_sign	x=864	y=416	w=16	h=16
minecraft:item/cherry_sign	x=864	y=432	w=16	h=16
minecraft:item/chest_minecart	x=864	y=448	w=16	h=16
minecraft:item/chicken	x=864	y=464	w=16	h=16
minecraft:item/chorus_fruit	x=864	y=480	w=16	h=16
minecraft:item/clay_ball	x=864	y=496	w=16	h=16
minecraft:item/clock_00	x=864	y=512	w=16	h=16
minecraft:item/clock_01	x=864	y=528	w=16	h=16
minecraft:item/clock_02	x=864	y=544	w=16	h=16
minecraft:item/clock_03	x=864	y=560	w=16	h=16
minecraft:item/clock_04	x=864	y=576	w=16	h=16
minecraft:item/clock_05	x=864	y=592	w=16	h=16
minecraft:item/clock_06	x=864	y=608	w=16	h=16
minecraft:item/clock_07	x=864	y=624	w=16	h=16
minecraft:item/clock_08	x=864	y=640	w=16	h=16
minecraft:item/clock_09	x=864	y=656	w=16	h=16
minecraft:item/clock_10	x=864	y=672	w=16	h=16
minecraft:item/clock_11	x=864	y=688	w=16	h=16
minecraft:item/clock_12	x=864	y=704	w=16	h=16
minecraft:item/clock_13	x=864	y=720	w=16	h=16
minecraft:item/clock_14	x=864	y=736	w=16	h=16
minecraft:item/clock_15	x=864	y=752	w=16	h=16
minecraft:item/clock_16	x=864	y=768	w=16	h=16
minecraft:item/clock_17	x=864	y=784	w=16	h=16
minecraft:item/clock_18	x=864	y=800	w=16	h=16
minecraft:item/clock_19	x=864	y=816	w=16	h=16
minecraft:item/clock_20	x=864	y=832	w=16	h=16
minecraft:item/clock_21	x=864	y=848	w=16	h=16
minecraft:item/clock_22	x=864	y=864	w=16	h=16
minecraft:item/clock_23	x=864	y=880	w=16	h=16
minecraft:item/clock_24	x=864	y=896	w=16	h=16
minecraft:item/clock_25	x=864	y=912	w=16	h=16
minecraft:item/clock_26	x=864	y=928	w=16	h=16
minecraft:item/clock_27	x=864	y=944	w=16	h=16
minecraft:item/clock_28	x=864	y=960	w=16	h=16
minecraft:item/clock_29	x=864	y=976	w=16	h=16
minecraft:item/clock_30	x=864	y=992	w=16	h=16
minecraft:item/clock_31	x=864	y=1008	w=16	h=16
minecraft:item/clock_32	x=880	y=0	w=16	h=16
minecraft:item/clock_33	x=880	y=16	w=16	h=16
minecraft:item/clock_34	x=880	y=32	w=16	h=16
minecraft:item/clock_35	x=880	y=48	w=16	h=16
minecraft:item/clock_36	x=880	y=64	w=16	h=16
minecraft:item/clock_37	x=880	y=80	w=16	h=16
minecraft:item/clock_38	x=880	y=96	w=16	h=16
minecraft:item/clock_39	x=880	y=112	w=16	h=16
minecraft:item/clock_40	x=880	y=128	w=16	h=16
minecraft:item/clock_41	x=880	y=144	w=16	h=16
minecraft:item/clock_42	x=880	y=160	w=16	h=16
minecraft:item/clock_43	x=880	y=176	w=16	h=16
minecraft:item/clock_44	x=880	y=192	w=16	h=16
minecraft:item/clock_45	x=880	y=208	w=16	h=16
minecraft:item/clock_46	x=880	y=224	w=16	h=16
minecraft:item/clock_47	x=880	y=240	w=16	h=16
minecraft:item/clock_48	x=880	y=256	w=16	h=16
minecraft:item/clock_49	x=880	y=272	w=16	h=16
minecraft:item/clock_50	x=880	y=288	w=16	h=16
minecraft:item/clock_51	x=880	y=304	w=16	h=16
minecraft:item/clock_52	x=880	y=320	w=16	h=16
minecraft:item/clock_53	x=880	y=336	w=16	h=16
minecraft:item/clock_54	x=880	y=352	w=16	h=16
minecraft:item/clock_55	x=880	y=368	w=16	h=16
minecraft:item/clock_56	x=880	y=384	w=16	h=16
minecraft:item/clock_57	x=880	y=400	w=16	h=16
minecraft:item/clock_58	x=880	y=416	w=16	h=16
minecraft:item/clock_59	x=880	y=432	w=16	h=16
minecraft:item/clock_60	x=880	y=448	w=16	h=16
minecraft:item/clock_61	x=880	y=464	w=16	h=16
minecraft:item/clock_62	x=880	y=480	w=16	h=16
minecraft:item/clock_63	x=880	y=496	w=16	h=16
minecraft:item/coal	x=880	y=512	w=16	h=16
minecraft:item/coast_armor_trim_smithing_template	x=880	y=528	w=16	h=16
minecraft:item/cocoa_beans	x=880	y=544	w=16	h=16
minecraft:item/cod	x=880	y=560	w=16	h=16
minecraft:item/cod_bucket	x=880	y=576	w=16	h=16
minecraft:item/command_block_minecart	x=880	y=592	w=16	h=16
minecraft:item/comparator	x=880	y=608	w=16	h=16
minecraft:item/compass_00	x=880	y=624	w=16	h=16
minecraft:item/compass_01	x=880	y=640	w=16	h=16
minecraft:item/compass_02	x=880	y=656	w=16	h=16
minecraft:item/compass_03	x=880	y=672	w=16	h=16
minecraft:item/compass_04	x=880	y=688	w=16	h=16
minecraft:item/compass_05	x=880	y=704	w=16	h=16
minecraft:item/compass_06	x=880	y=720	w=16	h=16
minecraft:item/compass_07	x=880	y=736	w=16	h=16
minecraft:item/compass_08	x=880	y=752	w=16	h=16
minecraft:item/compass_09	x=880	y=768	w=16	h=16
minecraft:item/compass_10	x=880	y=784	w=16	h=16
minecraft:item/compass_11	x=880	y=800	w=16	h=16
minecraft:item/compass_12	x=880	y=816	w=16	h=16
minecraft:item/compass_13	x=880	y=832	w=16	h=16
minecraft:item/compass_14	x=880	y=848	w=16	h=16
minecraft:item/compass_15	x=880	y=864	w=16	h=16
minecraft:item/compass_16	x=880	y=880	w=16	h=16
minecraft:item/compass_17	x=880	y=896	w=16	h=16
minecraft:item/compass_18	x=880	y=912	w=16	h=16
minecraft:item/compass_19	x=880	y=928	w=16	h=16
minecraft:item/compass_20	x=880	y=944	w=16	h=16
minecraft:item/compass_21	x=880	y=960	w=16	h=16
minecraft:item/compass_22	x=880	y=976	w=16	h=16
minecraft:item/compass_23	x=880	y=992	w=16	h=16
minecraft:item/compass_24	x=880	y=1008	w=16	h=16
minecraft:item/compass_25	x=896	y=0	w=16	h=16
minecraft:item/compass_26	x=896	y=16	w=16	h=16
minecraft:item/compass_27	x=896	y=32	w=16	h=16
minecraft:item/compass_28	x=896	y=48	w=16	h=16
minecraft:item/compass_29	x=896	y=64	w=16	h=16
minecraft:item/compass_30	x=896	y=80	w=16	h=16
minecraft:item/compass_31	x=896	y=96	w=16	h=16
minecraft:item/cooked_beef	x=896	y=112	w=16	h=16
minecraft:item/cooked_chicken	x=896	y=128	w=16	h=16
minecraft:item/cooked_cod	x=896	y=144	w=16	h=16
minecraft:item/cooked_mutton	x=896	y=160	w=16	h=16
minecraft:item/cooked_porkchop	x=896	y=176	w=16	h=16
minecraft:item/cooked_rabbit	x=896	y=192	w=16	h=16
minecraft:item/cooked_salmon	x=896	y=208	w=16	h=16
minecraft:item/cookie	x=896	y=224	w=16	h=16
minecraft:item/copper_door	x=896	y=240	w=16	h=16
minecraft:item/copper_ingot	x=896	y=256	w=16	h=16
minecraft:item/creeper_banner_pattern	x=896	y=272	w=16	h=16
minecraft:item/crimson_door	x=896	y=288	w=16	h=16
minecraft:item/crimson_hanging_sign	x=896	y=304	w=16	h=16
minecraft:item/crimson_sign	x=896	y=320	w=16	h=16
minecraft:item/crossbow_arrow	x=896	y=336	w=16	h=16
minecraft:item/crossbow_firework	x=896	y=352	w=16	h=16
minecraft:item/crossbow_pulling_0	x=896	y=368	w=16	h=16
minecraft:item/crossbow_pulling_1	x=896	y=384	w=16	h=16
minecraft:item/crossbow_pulling_2	x=896	y=400	w=16	h=16
minecraft:item/crossbow_standby	x=896	y=416	w=16	h=16
minecraft:item/cyan_candle	x=896	y=432	w=16	h=16
minecraft:item/cyan_dye	x=896	y=448	w=16	h=16
minecraft:item/danger_pottery_sherd	x=896	y=464	w=16	h=16
minecraft:item/dark_oak_boat	x=896	y=480	w=16	h=16
minecraft:item/dark_oak_chest_boat	x=896	y=496	w=16	h=16
minecraft:item/dark_oak_door	x=896	y=512	w=16	h=16
minecraft:item/dark_oak_hanging_sign	x=896	y=528	w=16	h=16
minecraft:item/dark_oak_sign	x=896	y=544	w=16	h=16
minecraft:item/diamond	x=896	y=560	w=16	h=16
minecraft:item/diamond_axe	x=896	y=576	w=16	h=16
minecraft:item/diamond_boots	x=896	y=592	w=16	h=16
minecraft:item/diamond_chestplate	x=896	y=608	w=16	h=16
minecraft:item/diamond_helmet	x=896	y=624	w=16	h=16
minecraft:item/diamond_hoe	x=896	y=640	w=16	h=16
minecraft:item/diamond_horse_armor	x=896	y=656	w=16	h=16
minecraft:item/diamond_leggings	x=896	y=672	w=16	h=16
minecraft:item/diamond_pickaxe	x=896	y=688	w=16	h=16
minecraft:item/diamond_shovel	x=896	y=704	w=16	h=16
minecraft:item/diamond_sword	x=896	y=720	w=16	h=16
minecraft:item/disc_fragment_5	x=896	y=736	w=16	h=16
minecraft:item/dragon_breath	x=896	y=752	w=16	h=16
minecraft:item/dried_kelp	x=896	y=768	w=16	h=16
minecraft:item/dune_armor_trim_smithing_template	x=896	y=784	w=16	h=16
minecraft:item/echo_shard	x=896	y=800	w=16	h=16
minecraft:item/egg	x=896	y=816	w=16	h=16
minecraft:item/elytra	x=896	y=832	w=16	h=16
minecraft:item/emerald	x=896	y=848	w=16	h=16
minecraft:item/empty_armor_slot_boots	x=896	y=864	w=16	h=16
minecraft:item/empty_armor_slot_chestplate	x=896	y=880	w=16	h=16
minecraft:item/empty_armor_slot_helmet	x=896	y=896	w=16	h=16
minecraft:item/empty_armor_slot_leggings	x=896	y=912	w=16	h=16
minecraft:item/empty_armor_slot_shield	x=896	y=928	w=16	h=16
minecraft:item/empty_slot_amethyst_shard	x=896	y=944	w=16	h=16
minecraft:item/empty_slot_axe	x=896	y=960	w=16	h=16
minecraft:item/empty_slot_diamond	x=896	y=976	w=16	h=16
minecraft:item/empty_slot_emerald	x=896	y=992	w=16	h=16
minecraft:item/empty_slot_hoe	x=896	y=1008	w=16	h=16
minecraft:item/empty_slot_ingot	x=912	y=0	w=16	h=16
minecraft:item/empty_slot_lapis_lazuli	x=912	y=16	w=16	h=16
minecraft:item/empty_slot_pickaxe	x=912	y=32	w=16	h=16
minecraft:item/empty_slot_quartz	x=912	y=48	w=16	h=16
minecraft:item/empty_slot_redstone_dust	x=912	y=64	w=16	h=16
minecraft:item/empty_slot_shovel	x=912	y=80	w=16	h=16
minecraft:item/empty_slot_smithing_template_armor_trim	x=912	y=96	w=16	h=16
minecraft:item/empty_slot_smithing_template_netherite_upgrade	x=912	y=112	w=16	h=16
minecraft:item/empty_slot_sword	x=912	y=128	w=16	h=16
minecraft:item/enchanted_book	x=912	y=144	w=16	h=16
minecraft:item/end_crystal	x=912	y=160	w=16	h=16
minecraft:item/ender_eye	x=912	y=176	w=16	h=16
minecraft:item/ender_pearl	x=912	y=192	w=16	h=16
minecraft:item/experience_bottle	x=912	y=208	w=16	h=16
minecraft:item/explorer_pottery_sherd	x=912	y=224	w=16	h=16
minecraft:item/exposed_copper_door	x=912	y=240	w=16	h=16
minecraft:item/eye_armor_trim_smithing_template	x=912	y=256	w=16	h=16
minecraft:item/feather	x=912	y=272	w=16	h=16
minecraft:item/fermented_spider_eye	x=912	y=288	w=16	h=16
minecraft:item/filled_map	x=912	y=304	w=16	h=16
minecraft:item/filled_map_markings	x=912	y=320	w=16	h=16
jda:item/fire	x=912	y=336	w=16	h=16
minecraft:item/fire_charge	x=912	y=352	w=16	h=16
minecraft:item/firework_rocket	x=912	y=368	w=16	h=16
minecraft:item/firework_star	x=912	y=384	w=16	h=16
minecraft:item/firework_star_overlay	x=912	y=400	w=16	h=16
minecraft:item/fishing_rod	x=912	y=416	w=16	h=16
minecraft:item/fishing_rod_cast	x=912	y=432	w=16	h=16
minecraft:item/flint	x=912	y=448	w=16	h=16
minecraft:item/flint_and_steel	x=912	y=464	w=16	h=16
minecraft:item/flow_armor_trim_smithing_template	x=912	y=480	w=16	h=16
minecraft:item/flow_banner_pattern	x=912	y=496	w=16	h=16
minecraft:item/flow_pottery_sherd	x=912	y=512	w=16	h=16
minecraft:item/flower_banner_pattern	x=912	y=528	w=16	h=16
minecraft:item/flower_pot	x=912	y=544	w=16	h=16
minecraft:item/friend_pottery_sherd	x=912	y=560	w=16	h=16
minecraft:item/furnace_minecart	x=912	y=576	w=16	h=16
minecraft:item/ghast_tear	x=912	y=592	w=16	h=16
minecraft:item/glass_bottle	x=912	y=608	w=16	h=16
minecraft:item/glistering_melon_slice	x=912	y=624	w=16	h=16
minecraft:item/globe_banner_pattern	x=912	y=640	w=16	h=16
minecraft:item/glow_berries	x=912	y=656	w=16	h=16
minecraft:item/glow_ink_sac	x=912	y=672	w=16	h=16
minecraft:item/glow_item_frame	x=912	y=688	w=16	h=16
minecraft:item/glowstone_dust	x=912	y=704	w=16	h=16
minecraft:item/goat_horn	x=912	y=720	w=16	h=16
minecraft:item/gold_ingot	x=912	y=736	w=16	h=16
minecraft:item/gold_nugget	x=912	y=752	w=16	h=16
minecraft:item/golden_apple	x=912	y=768	w=16	h=16
minecraft:item/golden_axe	x=912	y=784	w=16	h=16
minecraft:item/golden_boots	x=912	y=800	w=16	h=16
minecraft:item/golden_carrot	x=912	y=816	w=16	h=16
minecraft:item/golden_chestplate	x=912	y=832	w=16	h=16
